year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2011,BMW,3 Series,328i,Sedan,automatic,wbaph7c5xbe852124,ca,44.0,31979.0,white,black,financial services remarketing (lease),19800,23000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,335is,Convertible,automatic,wbadx1c56be570646,ca,34.0,41971.0,white,black,financial services remarketing (lease),29900,29000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Coupe,manual,wbake5c54be432253,ca,4.0,29992.0,white,black,financial services remarketing (lease),20600,22250,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2011,BMW,3 Series,335i,Sedan,automatic,wbapm5g51bnn00933,ca,45.0,49117.0,black,black,financial services remarketing (lease),22700,23000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,5 Series,535i,Sedan,automatic,wbafr7c52bc802659,ca,43.0,39422.0,beige,—,financial services remarketing (lease),28300,28750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Acura,TSX,Base,Sedan,automatic,jh4cu2f6xbc016232,ca,35.0,30431.0,black,black,ahfc/honda lease trust/hvt  inc. eot,16350,16800,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g56bnm76858,ca,45.0,36389.0,gray,gray,financial services remarketing (lease),19200,21500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5c57ba441419,ca,31.0,31785.0,black,black,financial services remarketing (lease),19800,21250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Toyota,Tundra,Tundra,Double Cab,automatic,5tfty5f15cx007590,ca,42.0,45514.0,white,gray,toyota financial services,20600,21400,Tue Dec 23 2014 00:00:00 GMT-0800 (PST)
2012,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwdp7aj0cm007753,ca,37.0,64675.0,white,black,kia of cerritos,8575,8500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5c54bf093579,ca,29.0,25764.0,black,gray,financial services remarketing (lease),19850,18600,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5c57ba446667,ca,48.0,27985.0,white,tan,financial services remarketing (lease),20300,21750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,335i,Convertible,automatic,wbadx7c59be581546,ca,34.0,22819.0,black,black,financial services remarketing (lease),29400,30250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g58bnm84010,ca,29.0,25339.0,black,black,financial services remarketing (lease),20700,21250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Volvo,XC70,3.2,Wagon,automatic,yv4952bz9c1125705,ca,48.0,27057.0,white,black,smith volvo inc,26300,26750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
